movieId,title,genres,imdbId,tmdbId,Release_Year,Director,Stars,Original Language,Revenue,Keywords
1,Toy Story (1995),Animation|Children's|Comedy,114709,862,1995,John Lasseter,"['tom hanks', 'tim allen', 'don rickles', 'jim varney', 'wallace shawn', 'john ratzenberger', 'annie potts', 'john morris', 'erik von detten']",English,394436586,"['jealousy', 'villain', 'friendship', 'bullying', 'elementary school', 'friends', 'rivalry', 'rescue', 'computer animation', 'mission', 'anthropomorphism', 'buddy', 'walkie talkie', 'toy car', 'boy next door', 'new toy', 'neighborhood', 'toy comes to life', 'resourcefulness']"
2,Jumanji (1995),Adventure|Children's|Fantasy,113497,8844,1995,Joe Johnston,"['robin williams', 'kirsten dunst', 'bradley pierce', 'bonnie hunt', 'jonathan hyde', 'bebe neuwirth', 'david alan grier', 'adam hann byrd', 'patricia clarkson']",English,262821940,"['giant insect', 'board game', 'jungle', 'disappearance', 'recluse', 'stampede', 'based on young adult novel']"
3,Grumpier Old Men (1995),Comedy|Romance,113228,15602,1995,Howard Deutch,"['walter matthau', 'jack lemmon', 'ann margret', 'sophia loren', 'daryl hannah', 'burgess meredith', 'kevin pollak', 'michelle johnston']",English,71500000,"['fishing', 'sequel', 'old man', 'best friend', 'wedding', 'italian restaurant', 'old friends', 'duringcreditsstinger', 'pranks']"
4,Waiting to Exhale (1995),Comedy|Drama,114885,31357,1995,Forest Whitaker,"['whitney houston', 'angela bassett', 'loretta devine', 'lela rochon', 'gregory hines', 'dennis haysbert', 'mykelti williamson', 'michael beach', 'leon']",English,81452156,"['based on novel or book', 'interracial relationship', 'single mother', 'divorce']"
5,Father of the Bride Part II (1995),Comedy,113041,11862,1995,Charles Shyer,"['steve martin', 'diane keaton', 'martin short', 'kimberly williams paisley', 'george newbern', 'kieran culkin', 'bd wong', 'peter michael goetz', 'kate mcgregor stewart']",English,76594107,"['parent child relationship', 'baby', 'midlife crisis', 'confidence', 'pregnancy', 'aging', 'daughter', 'sequel', 'remake', 'los angeles, california', 'contraception', 'gynecologist']"
6,Heat (1995),Action|Crime|Thriller,113277,949,1995,Michael Mann,"['al pacino', 'robert de niro', 'val kilmer', 'jon voight', 'tom sizemore', 'diane venora', 'amy brenneman', 'ashley judd', 'mykelti williamson']",English,187400000,"['robbery', 'detective', 'obsession', 'chase', 'thief', 'honor', 'murder', 'heist', 'betrayal', 'gang', 'los angeles, california', 'cat and mouse', 'bank robbery', 'criminal mastermind', 'ex-con', 'one last job', 'loner', 'bank job', 'neo-noir', 'crime epic', 'intense']"
7,Sabrina (1995),Comedy|Romance,114319,11860,1995,Sydney Pollack,"['harrison ford', 'julia ormond', 'greg kinnear', 'nancy marchand', 'john wood', 'richard crenna', 'angie dickinson', 'lauren holly', 'dana ivey']",English,53672080,"['paris, france', 'sibling relationship', 'chauffeur', 'long island, new york', 'fusion', 'millionaire', 'romantic']"
8,Tom and Huck (1995),Adventure|Children's,112302,45325,1995,Peter Hewitt,"['jonathan taylor thomas', 'brad renfro', 'eric schweig', 'charles rocket', 'amy wright', 'michael mcshane', 'marian seldes', 'rachael leigh cook', 'lanny flaherty']",English,23920048,"['mississippi river', 'based on novel or book', 'male friendship']"
9,Sudden Death (1995),Action,114576,9091,1995,Peter Hyams,"['jean claude van damme', 'powers boothe', 'raymond j barry', 'whittni wright', 'ross malinger', 'dorian harewood', 'kate mcneil', 'michael gaston', 'audra lindley']",English,64350171,"['hostage', 'explosive', 'ice hockey', 'terrorism', 'vice president', 'pittsburgh, pennsylvania', 'pittsburgh penguins']"
10,GoldenEye (1995),Action|Adventure|Thriller,113189,710,1995,Martin Campbell,"['pierce brosnan', 'sean bean', 'izabella scorupco', 'famke janssen', 'joe don baker', 'judi dench', 'robbie coltrane', 'tcheky karyo', 'gottfried john']",English,352200000,"['cuba', 'falsely accused', 'secret identity', 'computer virus', 'secret base', 'secret intelligence service', 'kgb', 'satellite', 'special car', 'cossack', 'electromagnetic pulse', 'time bomb', 'st. petersburg, russia', 'red army']"
11,"American President, The (1995)",Comedy|Drama|Romance,112346,9087,1995,Rob Reiner,"['michael douglas', 'annette bening', 'martin sheen', 'michael j fox', 'anna deavere smith', 'samantha mathis', 'shawna waldron', 'david paymer', 'anne haney']",English,107879496,"['the white house', 'usa president', 'new love', 'widower', 'wildlife conservation']"
12,Dracula: Dead and Loving It (1995),Comedy|Horror,112896,12110,1995,Mel Brooks,"['leslie nielsen', 'mel brooks', 'amy yasbeck', 'peter macnicol', 'lysette anthony', 'harvey korman', 'steven weber', 'mark blankfield', 'megan cavanagh']",English,10772144,"['vampire', 'spoof', 'dracula']"
13,Balto (1995),Animation|Children's,112453,21032,1995,Simon Wells,"['kevin bacon', 'bob hoskins', 'bridget fonda', 'jim cummings', 'phil collins', 'juliette brewer', 'jack angel', 'danny mann', 'robbie rist']",English,11348324,"['wolf', 'pet', 'dog-sledding race', 'alaska', 'dog', 'goose', 'bear attack', 'dog sled', 'pets']"
