,movieId,title,genres,imdbId,tmdbId
0,1,Toy Story (1995),Animation|Children's|Comedy,114709.0,862.0
1,2,Jumanji (1995),Adventure|Children's|Fantasy,113497.0,8844.0
2,3,Grumpier Old Men (1995),Comedy|Romance,113228.0,15602.0
3,4,Waiting to Exhale (1995),Comedy|Drama,114885.0,31357.0
4,5,Father of the Bride Part II (1995),Comedy,113041.0,11862.0
5,6,Heat (1995),Action|Crime|Thriller,113277.0,949.0
6,7,Sabrina (1995),Comedy|Romance,114319.0,11860.0
7,8,Tom and Huck (1995),Adventure|Children's,112302.0,45325.0
8,9,Sudden Death (1995),Action,114576.0,9091.0
9,10,GoldenEye (1995),Action|Adventure|Thriller,113189.0,710.0
10,11,"American President, The (1995)",Comedy|Drama|Romance,112346.0,9087.0
11,12,Dracula: Dead and Loving It (1995),Comedy|Horror,112896.0,12110.0
12,13,Balto (1995),Animation|Children's,112453.0,21032.0
13,14,Nixon (1995),Drama,113987.0,10858.0
14,15,Cutthroat Island (1995),Action|Adventure|Romance,112760.0,1408.0
15,16,Casino (1995),Drama|Thriller,112641.0,524.0
16,17,Sense and Sensibility (1995),Drama|Romance,114388.0,4584.0
17,18,Four Rooms (1995),Thriller,113101.0,5.0
18,19,Ace Ventura: When Nature Calls (1995),Comedy,112281.0,9273.0
19,20,Money Train (1995),Action,113845.0,11517.0
20,21,Get Shorty (1995),Action|Comedy|Drama,113161.0,8012.0
21,22,Copycat (1995),Crime|Drama|Thriller,112722.0,1710.0
22,23,Assassins (1995),Thriller,112401.0,9691.0
23,24,Powder (1995),Drama|Sci-Fi,114168.0,12665.0
24,25,Leaving Las Vegas (1995),Drama|Romance,113627.0,451.0
25,26,Othello (1995),Drama,114057.0,16420.0
26,27,Now and Then (1995),Drama,114011.0,9263.0
27,28,Persuasion (1995),Romance,114117.0,17015.0
28,29,"City of Lost Children, The (1995)",Adventure|Sci-Fi,112682.0,902.0
29,30,Shanghai Triad (Yao a yao yao dao waipo qiao) (1995),Drama,115012.0,37557.0
30,31,Dangerous Minds (1995),Drama,112792.0,9909.0
31,32,Twelve Monkeys (1995),Drama|Sci-Fi,114746.0,63.0
32,33,Wings of Courage (1995),Adventure|Romance,114952.0,78802.0
33,34,Babe (1995),Children's|Comedy|Drama,112431.0,9598.0
34,35,Carrington (1995),Drama|Romance,112637.0,47018.0
35,36,Dead Man Walking (1995),Drama,112818.0,687.0
36,37,Across the Sea of Time (1995),Documentary,112286.0,139405.0
37,38,It Takes Two (1995),Comedy,113442.0,33689.0
38,39,Clueless (1995),Comedy|Romance,112697.0,9603.0
39,40,"Cry, the Beloved Country (1995)",Drama,112749.0,34615.0
40,41,Richard III (1995),Drama|War,114279.0,31174.0
41,42,Dead Presidents (1995),Action|Crime|Drama,112819.0,11443.0
42,43,Restoration (1995),Drama,114272.0,35196.0
43,44,Mortal Kombat (1995),Action|Adventure,113855.0,9312.0
44,45,To Die For (1995),Comedy|Drama,114681.0,577.0
45,46,How to Make an American Quilt (1995),Drama|Romance,113347.0,11861.0
46,47,Seven (Se7en) (1995),Crime|Thriller,114369.0,807.0
47,48,Pocahontas (1995),Animation|Children's|Musical|Romance,114148.0,10530.0
48,49,When Night Is Falling (1995),Drama|Romance,114916.0,8391.0
49,50,"Usual Suspects, The (1995)",Crime|Thriller,114814.0,629.0
50,51,Guardian Angel (1994),Action|Drama|Thriller,109950.0,117164.0
51,52,Mighty Aphrodite (1995),Comedy,113819.0,11448.0
52,53,Lamerica (1994),Drama,110299.0,49133.0
53,54,"Big Green, The (1995)",Children's|Comedy,112499.0,26441.0
54,55,Georgia (1995),Drama,113158.0,97406.0
55,56,Kids of the Round Table (1995),Adventure|Children's|Fantasy,113541.0,124057.0
56,57,Home for the Holidays (1995),Drama,113321.0,9089.0
57,58,"Postino, Il (The Postman) (1994)",Drama|Romance,110877.0,11010.0
58,59,"Confessional, The (Le Confessionnal) (1995)",Drama|Mystery,112714.0,99040.0
59,60,"Indian in the Cupboard, The (1995)",Adventure|Children's|Fantasy,113419.0,11359.0
60,61,Eye for an Eye (1996),Drama|Thriller,116260.0,17182.0
61,62,Mr. Holland's Opus (1995),Drama,113862.0,2054.0
62,63,Don't Be a Menace to South Central While Drinking Your Juice in the Hood (1996),Comedy,116126.0,10607.0
63,64,Two if by Sea (1996),Comedy|Romance,118002.0,19760.0
64,65,Bio-Dome (1996),Comedy,115683.0,9536.0
65,66,Lawnmower Man 2: Beyond Cyberspace (1996),Sci-Fi|Thriller,116839.0,11525.0
66,67,Two Bits (1995),Drama,114753.0,40628.0
67,68,French Twist (Gazon maudit) (1995),Comedy|Romance,113149.0,4482.0
68,69,Friday (1995),Comedy,113118.0,10634.0
69,70,From Dusk Till Dawn (1996),Action|Comedy|Crime|Horror|Thriller,116367.0,755.0
70,71,Fair Game (1995),Action,113010.0,11859.0
71,72,Kicking and Screaming (1995),Comedy|Drama,113537.0,28387.0
72,73,"Mis�rables, Les (1995)",Drama|Musical,113828.0,48750.0
73,74,Bed of Roses (1996),Drama|Romance,115644.0,20927.0
74,75,Big Bully (1996),Comedy|Drama,115676.0,36929.0
75,76,Screamers (1995),Sci-Fi|Thriller,114367.0,9102.0
76,77,Nico Icon (1995),Documentary,113973.0,124626.0
77,78,"Crossing Guard, The (1995)",Drama,112744.0,27526.0
78,79,"Juror, The (1996)",Drama|Thriller,116731.0,9623.0
79,80,"White Balloon, The (Badkonake Sefid ) (1995)",Drama,112445.0,46785.0
80,81,Things to Do in Denver when You're Dead (1995),Crime|Drama|Romance,114660.0,400.0
81,82,Antonia's Line (Antonia) (1995),Drama,112379.0,880.0
82,83,Once Upon a Time... When We Were Colored (1995),Drama,114039.0,146599.0
83,84,Last Summer in the Hamptons (1995),Comedy|Drama,113612.0,188588.0
84,85,Angels and Insects (1995),Drama|Romance,112365.0,8447.0
85,86,White Squall (1996),Adventure|Drama,118158.0,10534.0
86,87,Dunston Checks In (1996),Children's|Comedy,116151.0,17414.0
87,88,Black Sheep (1996),Comedy,115697.0,13997.0
88,89,Nick of Time (1995),Action|Thriller,113972.0,2086.0
89,90,"Journey of August King, The (1995)",Drama,113490.0,61548.0
90,92,Mary Reilly (1996),Drama|Thriller,117002.0,9095.0
91,93,Vampire in Brooklyn (1995),Comedy|Romance,114825.0,12158.0
92,94,Beautiful Girls (1996),Drama,115639.0,9283.0
93,95,Broken Arrow (1996),Action|Thriller,115759.0,9208.0
94,96,In the Bleak Midwinter (1995),Comedy,113403.0,40154.0
95,97,"Hate (Haine, La) (1995)",Drama,113247.0,406.0
96,98,Shopping (1994),Action|Thriller,111173.0,45549.0
97,99,Heidi Fleiss: Hollywood Madam (1995),Documentary,113283.0,63076.0
98,100,City Hall (1996),Drama|Thriller,115907.0,11062.0
99,101,Bottle Rocket (1996),Comedy,115734.0,13685.0
100,102,Mr. Wrong (1996),Comedy,117102.0,47475.0
101,103,Unforgettable (1996),Thriller,118040.0,2045.0
102,104,Happy Gilmore (1996),Comedy,116483.0,9614.0
103,105,"Bridges of Madison County, The (1995)",Drama|Romance,112579.0,688.0
104,106,Nobody Loves Me (Keiner liebt mich) (1994),Comedy|Drama,110251.0,11907.0
105,107,Muppet Treasure Island (1996),Adventure|Children's|Comedy|Musical,117110.0,10874.0
106,108,Catwalk (1995),Documentary,112646.0,89333.0
107,109,Headless Body in Topless Bar (1995),Comedy,113276.0,96357.0
108,110,Braveheart (1995),Action|Drama|War,112573.0,197.0
109,111,Taxi Driver (1976),Drama|Thriller,75314.0,103.0
110,112,Rumble in the Bronx (1995),Action|Adventure|Crime,113326.0,33542.0
111,113,Before and After (1996),Drama|Mystery,115645.0,43566.0
112,114,Margaret's Museum (1995),Drama,113774.0,71754.0
113,115,Happiness Is in the Field (1995),Comedy,112556.0,43612.0
114,116,Anne Frank Remembered (1995),Documentary,112373.0,51352.0
115,117,"Young Poisoner's Handbook, The (1995)",Crime,115033.0,16934.0
116,118,If Lucy Fell (1996),Comedy|Romance,116606.0,10324.0
117,119,"Steal Big, Steal Little (1995)",Comedy,114536.0,78406.0
118,120,Race the Sun (1996),Drama,117427.0,55731.0
119,121,"Boys of St. Vincent, The (1993)",Drama,106473.0,32119.0
120,122,Boomerang (1992),Comedy|Romance,103859.0,11066.0
121,123,Chungking Express (1994),Drama|Mystery|Romance,109424.0,11104.0
122,124,"Star Maker, The (Uomo delle stelle, L') (1995)",Drama,114808.0,37975.0
123,125,Flirting With Disaster (1996),Comedy,116324.0,2074.0
124,126,"NeverEnding Story III, The (1994)",Adventure|Children's|Fantasy,110647.0,27793.0
125,127,"Silence of the Palace, The (Saimt el Qusur) (1994)",Drama,111055.0,44284.0
126,128,Jupiter's Wife (1994),Documentary,110217.0,290157.0
127,129,Pie in the Sky (1995),Comedy|Romance,114131.0,110972.0
